District,Property,Type,Rent Price (S$),Sale Price (S$),Source
CBD - Raffles Place,18 Cross Street,Office,"24,288",,https://www.citicommercial.com.sg/properties/details/4676
CBD - Raffles Place,18 Robinson,"Office, Serviced Office, F&b","112,617",,https://www.citicommercial.com.sg/properties/details/3107
CBD - Raffles Place,20 Collyer Quay,Office,"11,011 - 61,152",,https://www.citicommercial.com.sg/properties/details/849
CBD - Raffles Place,21 Collyer Quay,"Office, Serviced Office","63,210 - 188,000",,https://www.citicommercial.com.sg/properties/details/4682
CBD - Raffles Place,55 Market Street,Office,"40,622 - 45,654",,https://www.citicommercial.com.sg/properties/details/2005
CBD - Raffles Place,6 Battery Road,"Office, Serviced Office","176,987",,https://www.citicommercial.com.sg/properties/details/883
CBD - Raffles Place,6 Raffles Quay,Office,"11,600",,https://www.citicommercial.com.sg/properties/details/2007
CBD - Raffles Place,8 Robinson,Office,"27,060 - 54,048",,https://www.citicommercial.com.sg/properties/details/4643
CBD - Raffles Place,AIA Tower,Office,"15,210",,https://www.citicommercial.com.sg/properties/details/3716
CBD - Raffles Place,Bank of China Building,Office,"40,301",,https://www.citicommercial.com.sg/properties/details/3602
CBD - Raffles Place,Bharat Building,Office,"15,750",,https://www.citicommercial.com.sg/properties/details/945
CBD - Raffles Place,BNI Tower,Office,"19,708 - 109,055",,https://www.citicommercial.com.sg/properties/details/4732
CBD - Raffles Place,Boat Quay Shophouses,Office,"8,000","30,000,000",https://www.citicommercial.com.sg/properties/details/4734
CBD - Raffles Place,Boat Quay Shophouses,Office,"6,620",,https://www.citicommercial.com.sg/properties/details/4736
CBD - Raffles Place,Boat Quay Shophouses,Office,"8,000 - 12,000",,https://www.citicommercial.com.sg/properties/details/4737
CBD - Raffles Place,Boat Quay Shophouses,F&b,"20,000",,https://www.citicommercial.com.sg/properties/details/4814
CBD - Raffles Place,Boat Quay Shophouses,Office,"6,565",,https://www.citicommercial.com.sg/properties/details/4818
CBD - Raffles Place,CapitaGreen,"Office, Serviced Office","289,523",,https://www.citicommercial.com.sg/properties/details/2010
CBD - Raffles Place,Capital Square,"Office, Serviced Office","37,800 - 360,000",,https://www.citicommercial.com.sg/properties/details/2041
CBD - Raffles Place,Capital Square 3,Office,"16,448 - 22,392",,https://www.citicommercial.com.sg/properties/details/2011
CBD - Raffles Place,CapitaSpring,"F&b, Serviced Office","10,335 - 48,770",,https://www.citicommercial.com.sg/properties/details/4337
