District,Property,Address,Size (sqft),Gross Rate ($psf),Gross ($),Avail Date,Condition,Type of Use,Source
CBD - Raffles Place,18 Cross Street,18 Cross Street Singapore 048423,"2,024",12.00,"24,288.00",01-Feb-2026,Bare,Office,https://www.citicommercial.com.sg/properties/details/4676?view=all
CBD - Raffles Place,18 Robinson,18 Robinson Road Singapore 048547,"6,500",13.50,"87,750.00",01-Apr-2026,Bare,Office,https://www.citicommercial.com.sg/properties/details/3107?view=all
CBD - Raffles Place,18 Robinson,18 Robinson Road Singapore 048547,0,,"0.00",01-Jan-2025,Fitted,Serviced Office,https://www.citicommercial.com.sg/properties/details/3107?view=all
CBD - Raffles Place,18 Robinson,18 Robinson Road Singapore 048547,"3,993",13.50,"53,905.50",01-Feb-2026,Fitted,Office,https://www.citicommercial.com.sg/properties/details/3107?view=all
CBD - Raffles Place,18 Robinson,18 Robinson Road Singapore 048547,"8,342",13.50,"112,617.00",01-Feb-2026,Fitted,Office,https://www.citicommercial.com.sg/properties/details/3107?view=all
CBD - Raffles Place,18 Robinson,18 Robinson Road Singapore 048547,"5,952",13.50,"80,352.00",01-Apr-2026,Fitted,Office,https://www.citicommercial.com.sg/properties/details/3107?view=all
CBD - Raffles Place,18 Robinson,18 Robinson Road Singapore 048547,"4,682",13.50,"63,207.00",01-Apr-2026,Fitted,Office,https://www.citicommercial.com.sg/properties/details/3107?view=all
CBD - Raffles Place,18 Robinson,18 Robinson Road Singapore 048547,"1,098",15.00,"16,470.00",01-Apr-2026,Fitted,F&b,https://www.citicommercial.com.sg/properties/details/3107?view=all
CBD - Raffles Place,18 Robinson,18 Robinson Road Singapore 048547,"3,864",13.50,"52,164.00",01-Feb-2026,Fitted,Office,https://www.citicommercial.com.sg/properties/details/3107?view=all
CBD - Raffles Place,18 Robinson,18 Robinson Road Singapore 048547,"1,109",52.26,"57,960.00",01-Apr-2026,Fitted,Office,https://www.citicommercial.com.sg/properties/details/3107?view=all
CBD - Raffles Place,18 Robinson,18 Robinson Road Singapore 048547,678,15.00,"10,170.00",01-Apr-2026,Fitted,Office,https://www.citicommercial.com.sg/properties/details/3107?view=all
CBD - Raffles Place,18 Robinson,18 Robinson Road Singapore 048547,"8,342",13.50,"112,617.00",01-Aug-2026,Fitted,Office,https://www.citicommercial.com.sg/properties/details/3107?view=all
CBD - Raffles Place,18 Robinson,18 Robinson Road Singapore 048547,"3,563",16.27,"57,960.00",01-Apr-2026,Fitted,Office,https://www.citicommercial.com.sg/properties/details/3107?view=all
CBD - Raffles Place,20 Collyer Quay,20 Collyer Quay Singapore 049319,"1,582",10.80,"17,085.60",01-Mar-2026,Bare,Office,https://www.citicommercial.com.sg/properties/details/849?view=all
CBD - Raffles Place,20 Collyer Quay,20 Collyer Quay Singapore 049319,"1,001",11.00,"11,011.00",01-May-2026,Fitted,Office,https://www.citicommercial.com.sg/properties/details/849?view=all
CBD - Raffles Place,20 Collyer Quay,20 Collyer Quay Singapore 049319,"4,704",13.00,"61,152.00",01-Mar-2026,Bare,Office,https://www.citicommercial.com.sg/properties/details/849?view=all
CBD - Raffles Place,20 Collyer Quay,20 Collyer Quay Singapore 049319,"2,034",13.30,"27,052.20",01-Mar-2026,Bare,Office,https://www.citicommercial.com.sg/properties/details/849?view=all
CBD - Raffles Place,20 Collyer Quay,20 Collyer Quay Singapore 049319,"1,733",11.20,"19,409.60",01-Mar-2026,Fitted,Office,https://www.citicommercial.com.sg/properties/details/849?view=all
CBD - Raffles Place,Capital Square,23 Church Street Singapore 049481,"30,000",12.00,"360,000.00",01-Jan-2026,Fitted,Office,https://www.citicommercial.com.sg/properties/details/2041?view=all
CBD - Raffles Place,Capital Square,23 Church Street Singapore 049481,"9,634",12.00,"115,608.00",01-Jan-2026,Bare,Office,https://www.citicommercial.com.sg/properties/details/2041?view=all
CBD - Raffles Place,Capital Square,23 Church Street Singapore 049481,"9,774",12.00,"117,288.00",01-Jan-2026,Fitted,Office,https://www.citicommercial.com.sg/properties/details/2041?view=all
CBD - Raffles Place,Capital Square,23 Church Street Singapore 049481,"1,400",27.00,"37,800.00",01-May-2025,Fitted,Serviced Office,https://www.citicommercial.com.sg/properties/details/2041?view=all
CBD - Raffles Place,Capital Square,23 Church Street Singapore 049481,"4,575",12.00,"54,900.00",01-Jan-2026,Bare,Office,https://www.citicommercial.com.sg/properties/details/2041?view=all
