Sector Zone,VT,Property Name,Property Address,Proposed Used,Available Unit,Size,Gross Rate,Gross
CBD - Raffles Place,No,20 Collyer Quay,20 Collyer Quay Singapore 049319,Office,#24-05.06.07,2325.00,11.50,26737.50
CBD - Raffles Place,No,20 Collyer Quay,20 Collyer Quay Singapore 049319,Office,#19-03,1001.00,11.00,11011.00
CBD - Raffles Place,Yes,PLUS,20 Cecil Street Singapore 049705,Office,#19-03.04.05.06,4801.00,12.50,60012.50
CBD - Raffles Place,Yes,PLUS,20 Cecil Street Singapore 049705,Office,#18-01.10,10828.00,12.50,135350.00
CBD - Raffles Place,No,PLUS,20 Cecil Street Singapore 049705,Office,#17-01,1647.00,12.50,20587.50
Harbourfront,Yes,Mapletree Business City - Block 80,80 Pasir Panjang Road Singapore 117372,Office,#21-81.82,16102.00,7.50,120765.00
Harbourfront,No,Mapletree Business City - Block 80,80 Pasir Panjang Road Singapore 117372,Office,#18-83.94,15360.00,7.50,115200.00
Harbourfront,No,Mapletree Business City - Block 20W,20 Pasir Panjang Road Singapore 117439,Office,#13-27.28,17327.00,7.50,129952.50
CBD - Raffles Place,No,PLUS,20 Cecil Street Singapore 049705,Office,#12-08.09,2325.00,12.50,29062.50
CBD - Shenton Way,No,Capital Tower,168 Robinson Road Singapore 068912,Office,#13-01,9752.00,11.00,107272.00
CBD - Shenton Way,Yes,CapitaSky,79 Robinson Road Singapore 068897,Office,#08-07,2339.00,13.00,30407.00
Harbourfront,No,Mapletree Business City - Block 20E,20 Pasir Panjang Road Singapore 117439,Office,#09-23.24,9313.00,7.50,69847.50
CBD - Raffles Place,No,One Finlayson Green,1 Finlayson Green Singapore 049246,Office,#17-00,6351.00,8.80,55888.80
CBD - Raffles Place,Yes,One Finlayson Green,1 Finlayson Green Singapore 049246,Office,#14-00,6351.00,8.80,55888.80
CBD - Raffles Place,No,PLUS,20 Cecil Street Singapore 049705,Office,#11-01.02.10,1361.00,12.50,17012.50
CBD - Shenton Way,No,Capital Tower,168 Robinson Road Singapore 068912,Office,#22-01,14607.00,11.00,160677.00
CBD - Raffles Place,No,Prudential Tower,30 Cecil Street Singapore 049712,Office,#15-07.08,2621.00,11.00,28831.00
CBD - Shenton Way,No,Capital Tower,168 Robinson Road Singapore 068912,Office,#18-03,4440.00,11.00,48840.00
CBD - Raffles Place,Yes,PLUS,20 Cecil Street Singapore 049705,Office,#16-01.09,2099.00,12.50,26237.50
CBD - Shenton Way,No,Capital Tower,168 Robinson Road Singapore 068912,Office,#23-01,20763.00,11.00,228393.00
CBD - Raffles Place,Yes,PLUS,20 Cecil Street Singapore 049705,Office,#20-01,10828.00,12.50,135350.00
CBD - Shenton Way,No,SGX Centre 1,2 Shenton Way Singapore 068804,Office,#18-01.06,9720.00,9.50,92340.00
Harbourfront,No,Mapletree Business City - Block 80,80 Pasir Panjang Road Singapore 117372,Office,#23-84,12207.00,7.50,91552.50
Harbourfront,Yes,HarbourFront Tower Two,1 Harbourfront Place Singapore 098633,Office,#08-01,4273.00,7.70,32902.10
CBD - Raffles Place,No,20 Collyer Quay,20 Collyer Quay Singapore 049319,Office,#09-05,1733.00,11.20,19409.60
CBD - Shenton Way,No,SGX Centre 1,2 Shenton Way Singapore 068804,Office,#16-04,323.00,9.50,3068.50
